Feature,Class,W+,W-,Contrast (C)
elevasi,1.000000,-4.844187,1.002845,-5.847032
elevasi,2.000000,-3.367296,0.151641,-3.518937
elevasi,3.000000,-0.111226,0.010989,-0.122215
elevasi,4.000000,0.897942,-0.088455,0.986397
elevasi,5.000000,1.609438,-0.020305,1.629743
elevasi,6.000000,0.847298,-0.020514,0.867811
elevasi,7.000000,-1.098612,0.010101,-1.108713
elevasi,8.000000,-1.609438,0.020305,-1.629743
elevasi,9.000000,1.945910,-0.030615,1.976525
elevasi,10.000000,4.890349,-1.088612,5.978961
lereng,1.000000,-3.471966,1.720664,-5.192630
lereng,2.000000,-0.546544,0.044452,-0.590995
lereng,3.000000,1.157453,-0.139762,1.297215
lereng,4.000000,3.555348,-0.757686,4.313034
lereng,5.000000,3.663562,-0.218002,3.881564
pga,1.000000,-3.433987,0.167992,-3.601979
pga,2.000000,-4.442651,0.567378,-5.010029
pga,3.000000,-1.408767,0.204300,-1.613068
pga,4.000000,0.174353,-0.023257,0.197610
pga,5.000000,2.491296,-1.566421,4.057717
jarak_jalan,1.000000,-4.465908,0.585727,-5.051635
jarak_jalan,2.000000,-3.135494,0.120364,-3.255858
jarak_jalan,3.000000,0.108214,-0.025318,0.133531
jarak_jalan,4.000000,-1.845827,0.087011,-1.932838
jarak_jalan,5.000000,1.583293,-1.315677,2.898969
jenis_tanah,1.000000,-3.135494,0.115919,-3.251413
jenis_tanah,2.000000,-4.262680,0.428108,-4.690787
jenis_tanah,3.000000,0.479573,-0.043250,0.522823
jenis_tanah,4.000000,0.385662,-0.044206,0.429869
jenis_tanah,5.000000,-0.847298,0.020305,-0.867603
jenis_tanah,6.000000,4.934474,-1.160170,6.094644
jenis_tanah,7.000000,-2.197225,0.040615,-2.237839
jenis_tanah,8.000000,-1.945910,0.030305,-1.976215
jenis_tanah,9.000000,-1.609438,0.020101,-1.629539
jenis_tanah,10.000000,-2.944439,0.093819,-3.038258
jenis_tanah,11.000000,-2.708050,0.072196,-2.780246
jenis_tanah,12.000000,-0.762140,0.041891,-0.804031
